[2025-08-06T13:26:08.802439+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2025-08-06T13:26:08.804526+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Selamat datang di Ngaji Fuadi [] []
[2025-08-06T13:28:18.883596+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2025-08-06T13:28:18.885441+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Selamat datang di Ngaji Fuadi [] [][2025-08-07T09:10:06.052784+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.DEBUG: This is debug [] []
[2025-08-07T09:10:06.054866+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.INFO: This is info [] []
[2025-08-07T09:10:06.064066+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.NOTICE: This is notice [] []
[2025-08-07T09:10:06.064137+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.WARNING: This is warning [] []
[2025-08-07T09:10:06.064178+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.ERROR: This is error [] []
[2025-08-07T09:10:06.065395+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.CRITICAL: This is critical [] []
[2025-08-07T09:10:06.065480+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.ALERT: This is alert [] []
[2025-08-07T09:10:06.065561+07:00] DeveloperAnnur\Belajar\PHP\MVC\LevelTest.EMERGENCY: This is emergency [] []
[2025-08-07T09:46:37.786273+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-0 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.862900+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-1 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.862967+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-2 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.863018+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-3 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
